None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
252,440,318,228,64,,8,0,0,0,343,882,159,1,150,1052,886,110,8,8,0,176,1630,82,34,30083,51,1938,4,23,111,136,133,6
15014,38493,39647,23367,13753,,2935,525,9,0,62200,57323,21112,5066,11621,100675,90810,96974,381,3363,22,4923,82552,1584,3348,23988,5735,191485,3610,1962,9047,8527,10433,1613
1408,3792,3236,1434,716,,71,0,0,0,2709,6359,1462,357,1122,7766,6761,866,100,116,58,621,12608,267,237,23754,278,14527,148,247,749,617,616,193
1594,2823,2381,876,506,,43,0,0,0,3494,4153,1070,283,873,6420,5869,6021,9,54,0,402,5599,328,212,20398,587,12289,120,181,595,755,895,75
357,1296,714,101,72,,44,0,0,0,719,1388,382,78,351,1690,1519,669,0,44,0,0,2487,0,9,21108,134,3209,34,0,132,94,137,10
245,909,762,302,188,,32,0,0,0,952,1680,407,81,17,2470,2282,1197,0,46,0,469,2861,253,179,36615,66,4752,70,75,473,355,465,9
76,231,278,145,73,,2,0,0,0,205,562,112,23,52,666,530,46,0,0,0,148,1002,0,0,29964,41,1196,9,9,85,57,76,1
5,119,80,49,12,,0,0,0,0,95,174,26,21,6,267,164,185,100,0,0,0,146,0,0,19609,1,431,0,37,11,50,18,6
873,3095,3078,1791,838,,100,28,0,0,2830,6031,1327,159,917,7371,6503,1643,142,102,0,312,11524,187,176,27928,345,13874,219,158,679,720,576,86
3179,4084,3909,1606,595,,143,2,0,0,4123,8152,2044,284,1289,10858,10602,735,54,124,0,6489,13886,634,318,22246,191,21460,301,413,1638,1371,1260,24
396,656,561,135,42,,0,0,0,0,627,895,337,116,178,1275,1329,717,63,0,0,135,1742,0,27,17818,77,2604,18,34,68,132,176,16
640,1159,1205,357,150,,55,0,0,0,1225,1632,780,142,383,2746,2367,974,0,55,0,678,3261,391,239,19795,170,5113,82,45,260,158,247,8
793,2149,2834,895,381,,10,36,0,0,4176,2313,1343,375,847,6313,4477,9994,17,0,0,120,527,4,248,22642,734,10790,219,159,350,452,508,224
162,321,161,69,15,,0,0,0,0,173,386,186,49,55,577,559,292,73,0,0,51,684,5,46,22763,35,1136,15,5,105,70,33,4
233,613,712,126,60,,0,0,0,0,460,989,384,31,183,1417,1169,308,0,0,0,15,2234,0,29,23316,77,2586,32,75,171,144,113,2
578,1447,2672,1269,1029,,117,20,0,0,5559,3347,1090,280,530,6631,6023,3012,15,150,0,191,9012,0,413,18668,801,12654,141,24,487,407,395,85
162,477,663,174,84,,141,0,0,0,502,1192,135,37,94,1267,1211,330,114,145,0,414,1374,5,184,27404,81,2478,26,4,158,231,193,7
633,2796,3319,1840,918,,81,0,0,0,3675,6214,1407,143,549,8468,6692,4078,38,62,0,631,10132,209,311,31643,291,15160,239,192,807,1160,858,44
2636,6898,6637,4493,3262,,544,0,0,0,7369,15730,3383,332,1627,18284,17373,6738,79,606,32,1328,26160,348,843,30692,849,35657,313,730,2110,1795,1989,83
813,1741,1938,814,401,,40,22,0,0,2321,2706,1073,100,681,4790,3327,2470,0,28,0,57,5320,123,169,28518,287,8117,167,81,334,379,381,28
568,952,967,381,118,,0,0,0,0,981,1582,483,86,346,2411,1963,2330,48,0,11,8,1908,8,69,26180,214,4374,117,43,236,250,247,19
205,306,195,18,0,,0,0,0,0,269,382,113,21,65,494,614,306,0,0,0,29,733,19,33,14563,83,1108,16,0,78,60,64,11
1750,4656,4849,1988,1198,,307,0,0,0,4160,9216,2226,281,1158,10840,10368,3084,60,330,0,2068,15300,1267,471,27888,725,21208,255,240,1425,1292,1298,67
