State,City,Unemployment Count
Alabama,Brundidge,157
Alabama,Roanoke,143
Alabama,Rock Mills,37
Alabama,Russellville,165
Alabama,Vina,5
Alabama,Providence,7
Alabama,Grant,28
Alabama,Daviston,2
Alabama,Clanton,285
Alabama,Moores Mill,206
Alabama,Excel,31
Alabama,Pine Hill,34
Alabama,Spruce Pine,22
Alabama,Woodstock,92
Alabama,Westover,22
Alabama,Valley Grande,122
Alabama,Center Point,844
Alabama,Smiths Station,178
Alabama,Gadsden,1289
Alabama,Abanda,3
Alabama,Mount Vernon,62
Alabama,Pennington,13
Alabama,Union,49
Alabama,Red Bay,130
Alabama,Stockton,0
Alabama,Stapleton,0
Alabama,Perdido,79
Alabama,Samson,127
Alabama,Lillian,28
Alabama,Axis,16
Alabama,Belgreen,0
Alabama,Chelsea,244
Alabama,Ashville,63
Alabama,Ashland,92
Alabama,Ashford,39
Alabama,Carlisle-Rockledge,114
Alabama,Calvert,0
Alabama,Ballplay,16
Alabama,Bucks,0
Alabama,Brook Highland,147
Alabama,Bristow Cove,0
Alabama,Brantleyville,12
Alabama,Boykin,21
Alabama,Belle Fontaine,27
Alabama,Bellamy,21
Alabama,Broomtown,7
Alabama,Bon Secour,0
Alabama,Kimberly,28
Alabama,Cottondale,109
Alabama,Stewartville,6
Alabama,Sterrett,31
Alabama,Tidmore Bend,42
Alabama,Standing Rock,0
Alabama,Spring Garden,0
Alabama,Sims Chapel,0
Alabama,Tibbie,0
Alabama,Shoal Creek,0
Alabama,Loachapoka,12
Alabama,Dadeville,225
Alabama,Pickensville,93
Alabama,Talladega Springs,2
Alabama,Calera,146
Alabama,Coosada,47
Alabama,Vernon,103
Alabama,Uriah,0
Alabama,Vandiver,33
Alabama,Vinegar Bend,0
Alabama,Semmes,103
Alabama,Morrison Crossroads,0
Alabama,Joppa,33
Alabama,Riverside,54
Alabama,Good Hope,122
Alabama,Moody,253
Alabama,Kellyton,15
Alabama,Twin,10
Alabama,Pinson,275
Alabama,Munford,48
Alabama,Cusseta,2
Alabama,Whitesboro,127
Alabama,White Plains,25
Alabama,Whatley,0
Alabama,Weogufka,0
Alabama,Bakerhill,6
Alabama,Butler,62
Alabama,Camden,35
Alabama,Clio,34
Alabama,Millerville,7
Alabama,Megargel,0
Alabama,Marbury,70
Alabama,Malcolm,0
Alabama,Macedonia,0
Alabama,Lookout Mountain,64
Alabama,Mount Olive CDP (Coosa County),0
Alabama,Leroy,13
Alabama,Holtville,133
Alabama,Hollis Crossroads,12
Alabama,Hollins,65
Alabama,Hobson,0
Alabama,Hissop,63
Alabama,Highland Lakes,82
Alabama,Ivalee,0
Alabama,Mount Olive CDP (Jefferson County),27
Alabama,New Union,0
Alabama,Movico,0
Alabama,Penton,0
Alabama,Perdido Beach,18
Alabama,Peterman,4
Alabama,Pine Level,20
Alabama,Putnam,0
Alabama,Ray,0
Alabama,Redland,11
Alabama,Reeltown,0
Alabama,Rockville,0
Alabama,St. Stephens,23
Alabama,Shelby,28
Alabama,Magnolia Springs,14
Alabama,Clay,161
Alabama,Nances Creek,0
Alabama,Nanafalia,8
Alabama,Hatton,0
Alabama,Grimes,32
Alabama,Hackneyville,0
Alabama,Graham,0
Alabama,Uniontown,78
Alabama,Stevenson,46
Alabama,Springville,60
Alabama,Reform,51
Alabama,Pike Road,109
Alabama,Jemison,52
Alabama,Carlton,0
Alabama,Indian Springs Village,37
Alabama,Goodwater,33
Alabama,Fruithurst,6
Alabama,Florala,21
Alabama,Eutaw,157
Alabama,Creola,39
Alabama,Coaling,27
Alabama,Henagar,78
Alabama,Catherine,10
Alabama,Choccolocco,9
Alabama,Chunchula,0
Alabama,Gallant,0
Alabama,Fruitdale,0
Alabama,Fredonia,0
Alabama,Fitzpatrick,0
Alabama,Fayetteville,0
Alabama,Fairford,0
Alabama,Eunola,19
Alabama,Emerald Mountain,76
Alabama,Egypt,9
Alabama,East Point,0
Alabama,Dunnavant,0
Alabama,Delta,0
Alabama,Deer Park,0
Alabama,Cullomburg,0
Alabama,Coats Bend,36
Alabama,Gulfcrest,0
Alabama,Panola,0
Alabama,Crossville,37
Alabama,Ranburne,19
Alabama,Emelle,3
Alabama,Woodville,24
Alabama,Montevallo,368
Alabama,Myrtlewood,4
Alabama,Chatom,31
Alabama,Millry,12
Alabama,Millport,12
Alabama,Sulligent,55
Alabama,Anderson,8
Alabama,Hackleburg,44
Alabama,Trinity,53
Alabama,Gulf Shores,295
Alabama,Summerdale,11
Alabama,Hammondville,4
Alabama,Slocomb,45
Alabama,Hollywood,13
Alabama,Livingston,121
Alabama,Holly Pond,38
Alabama,Colony,7
Alabama,Coker,4
Alabama,Troy,694
Alabama,Jackson,286
Alabama,Dodge City,0
Alabama,Beaverton,11
Alabama,Detroit,5
Alabama,Kennedy,2
Alabama,Hytop,2
Alabama,Pisgah,11
Alabama,Coffeeville,30
Alabama,Blountsville,81
Alabama,Locust Fork,42
Alabama,Smoke Rise,26
Alabama,Thomasville,143
Alabama,Memphis,3
Alabama,Hanceville,130
Alabama,Spanish Fort,108
Alabama,Our Town,0
Alabama,Geiger,6
Alabama,Sylacauga,477
Alabama,Lester,0
Alabama,Grove Hill,64
Alabama,Headland,160
Alabama,Enterprise,684
Alabama,Hodges,1
Alabama,Collinsville,13
Alabama,Lynn,18
Alabama,Centre,135
Alabama,Moulton,67
Alabama,Ridgeville,10
Alabama,Cullman,354
Alabama,Ragland,60
Alabama,Epes,70
Alabama,Petrey,0
Alabama,Union Springs,96
Alabama,Dozier,41
Alabama,Beatrice,30
Alabama,Greensboro,225
Alabama,Cedar Bluff,33
Alabama,Pinckard,0
Alabama,Union Grove,2
Alabama,Riverview,1
Alabama,Phenix City,1557
Alabama,Cleveland,11
Alabama,Sanford,2
Alabama,Cherokee,25
Alabama,Dora,102
Alabama,Selma,1127
Alabama,Paint Rock,1
Alabama,Hayden,33
Alabama,McMullen,0
Alabama,Thomaston,4
Alabama,Southside,78
Alaska,Nelson Lagoon,0
Alaska,Chiniak,0
Alaska,Womens Bay,50
Alaska,Ouzinkie,29
Alaska,Larsen Bay,5
Alaska,Savoonga,109
Alaska,Atmautluak,26
Alaska,Brevig Mission,40
Alaska,Kodiak Station,4
Alaska,Eek,71
Alaska,Crooked Creek,17
Alaska,Bethel,294
Alaska,Kalifornsky,292
Alaska,Beluga,0
Alaska,Nome,192
Alaska,Funny River,88
Alaska,Chevak,75
Alaska,Cantwell,7
Alaska,Emmonak,99
Alaska,Halibut Cove,0
Alaska,Old Harbor,20
Alaska,Akhiok,5
Alaska,Stebbins,43
Alaska,St. Michael,49
Alaska,Diomede,0
Alaska,Game Creek,0
Alaska,Seldovia Village,2
Alaska,Primrose,0
Alaska,Kenai,337
Alaska,Fritz Creek,102
Alaska,Attu Station,0
Alaska,Wainwright,31
Alaska,Ferry,0
Alaska,Kasilof,54
Alaska,Salcha,24
Alaska,Kwethluk,56
Alaska,Manley Hot Springs,2
Alaska,Fox,0
Alaska,Fairbanks,1132
Alaska,Ester,54
Alaska,Pleasant Valley,0
Alaska,Tenakee Springs,0
Alaska,Chenega,0
Alaska,Nelchina,0
Alaska,Copper Center,27
Alaska,Mendeltna,0
Alaska,Silver Springs,4
Alaska,Alakanuk,117
Alaska,Anderson,8
Alaska,Nuiqsut,37
Alaska,False Pass,0
Alaska,McGrath,14
Alaska,Tununak,33
Alaska,Big Lake,143
Alaska,New Stuyahok,42
Alaska,Nightmute,13
Alaska,Galena,30
Alaska,Coldfoot,0
Alaska,Arctic Village,10
Alaska,Kotzebue,164
Alaska,Ambler,32
Alaska,Ekwok,15
Alaska,Aleknagik,23
Alaska,Venetie,24
Alaska,Red Dog Mine,0
Alaska,Tanana,12
Alaska,Rampart,3
Alaska,Grayling,24
Alaska,Fort Yukon,62
Alaska,Stony River,2
Alaska,Akiak,36
Alaska,Kiana,26
Alaska,Kivalina,47
Alaska,Anaktuvuk Pass,60
Alaska,Angoon,30
Alaska,Dry Creek,0
Alaska,Susitna,0
Alaska,Lakes,418
Alaska,Lake Louise,0
Alaska,Gateway,167
Alaska,Fishhook,340
Alaska,Farm Loop,39
Alaska,Tuluksak,23
Alaska,Mekoryuk,23
Alaska,Kongiganak,38
Alaska,Kasigluk,73
Alaska,Aniak,53
Alaska,Akutan,5
Alaska,Ruby,25
Alaska,Koliganek,12
Alaska,Kaltag,26
Alaska,Four Mile Road,0
Alaska,Evansville,0
Alaska,Knik-Fairview,629
Alaska,Wasilla,426
Alaska,Shageluk,7
Alaska,Takotna,4
Alaska,Dillingham,82
Alaska,Quinhagak,79
Alaska,Tanaina,548
Alaska,Pilot Station,66
Alaska,Port Lions,16
Alaska,Mountain Village,94
Alaska,Scammon Bay,56
Alaska,Point Hope,56
Alaska,Hoonah,65
Alaska,Stevens Village,0
Alaska,Glennallen,0
Alaska,Buckland,99
Alaska,Deering,11
Alaska,Central,10
Alaska,Homer,160
Alaska,Soldotna,81
Alaska,Aleneva,0
Alaska,Salamatof,22
Alaska,Kodiak,115
Alaska,Nikiski,151
Alaska,Cohoe,42
Alaska,Nikolaevsk,12
Alaska,Chistochina,0
Alaska,Chitina,3
Alaska,Mentasta Lake,6
Alaska,Tonsina,0
Alaska,Whittier,24
Alaska,Huslia,43
Alaska,Seldovia,5
Alaska,Butte,112
Alaska,Eielson AFB,38
Alaska,Circle,3
Alaska,Chalkyitsik,14
Alaska,Livengood,0
Alaska,Minto,27
Alaska,Nikolai,9
Alaska,Palmer,336
Alaska,College,414
Alaska,Koyukuk,9
Alaska,Newtok,34
Alaska,Platinum,2
Alaska,Houston,161
Alaska,Petersville,0
Alaska,Sutton-Alpine,35
Alaska,Beaver,6
Alaska,Bettles,0
Alaska,Nunapitchuk,83
Alaska,Hughes,3
Alaska,Napaskiak,19
Alaska,Toksook Bay,40
Alaska,Craig,53
Alaska,Mosquito Lake,0
Alaska,Tetlin,30
Alaska,Pope-Vannoy Landing,0
Alaska,Perryville,17
Alaska,Ivanof Bay,0
Alaska,Iliamna,3
Alaska,Levelock,6
Alaska,Alatna,0
Alaska,Point MacKenzie,9
Alaska,Meadow Lakes,355
Alaska,Lazy Mountain,77
Alaska,Chase,0
Alaska,Napakiak,23
Alaska,Goodnews Bay,22
Alaska,Sterling,282
Alaska,Hope,6
Alaska,Elfin Cove,0
Alaska,Hobart Bay,0
Alaska,Shishmaref,36
Alaska,Teller,14
Alaska,Manokotak,38
Alaska,Kotlik,55
Alaska,Chignik Lake,5
Alaska,St. Mary's,75
Alaska,Kaktovik,12
Alaska,Anchor Point,85
Alaska,Cooper Landing,14
Alaska,Ninilchik,27
Alaska,Diamond Ridge,26
Alaska,Fox River,31
Alaska,Healy,21
Alaska,Newhalen,7
Alaska,Pedro Bay,2
Alaska,Pilot Point,3
Alaska,South Naknek,11
Alaska,Ketchikan,364
Alaska,Coffman Cove,4
Alaska,Excursion Inlet,0
Alaska,Egegik,1
Alaska,Port Heiden,10
Alaska,Port Protection,0
Alaska,Portage Creek,0
Alaska,Twin Hills,0
Alaska,Kobuk,11
Alaska,Atqasuk,6
Alaska,Kipnuk,59
Alaska,Kwigillingok,21
Alaska,Lower Kalskag,30
Alaska,Togiak,55
Alaska,Upper Kalskag,23
Alaska,Metlakatla,138
Alaska,Karluk,0
Alaska,Eagle,0
Alaska,Northway Junction,0
Alaska,Northway Village,14
Alaska,Tanacross,29
Alaska,Juneau city and borough,1072
Alaska,Kenny Lake,0
Alaska,Klawock,89
Alaska,Tyonek,52
Alaska,Gakona,9
Alaska,Tolsona,0
Alaska,Valdez,180
Alaska,Klukwan,1
Alaska,Gambell,82
Alaska,Golovin,7
Alaska,Cordova,49
Alaska,Harding-Birch Lakes,0
Alaska,Chefornak,41
Alaska,Kake,52
Alaska,Happy Valley,32
Alaska,King Cove,31
Alaska,Hooper Bay,130
Alaska,Ridgeway,101
Alaska,Allakaket,35
Alaska,St. Paul,10
Alaska,Slana,0
Alaska,Point Baker,0
Alaska,Gulkana,18
Alaska,Naukati Bay,0
Alaska,Crown Point,0
Alaska,Tazlina,13
Alaska,Port Graham,9
Alaska,Chignik,4
Alaska,Anchorage municipal,8982
Alaska,Deltana,128
Alaska,Two Rivers,20
Alaska,Nenana,22
Alaska,Mertarvik,0
Alaska,Loring,0
Alaska,Goldstream,147
Alaska,Farmers Loop,93
