State,City,Europe,Asia,Africa,Oceania,Americas
Alabama,Tillmans Corner,139.0,414.0,51.0,0.0,0.0
Alabama,Carbon Hill,0.0,16.0,0.0,0.0,0.0
Alabama,Tuscaloosa,462.0,2181.0,290.0,8.0,0.0
Alabama,Oneonta,0.0,0.0,0.0,0.0,52.0
Alabama,Susan Moore,0.0,0.0,0.0,0.0,0.0
Alabama,Fulton,0.0,0.0,0.0,0.0,0.0
Alabama,Gaylesville,0.0,0.0,0.0,0.0,0.0
Alabama,Glenwood,0.0,0.0,0.0,0.0,0.0
Alabama,Marion,0.0,21.0,0.0,0.0,0.0
Alabama,Langston,0.0,0.0,0.0,0.0,0.0
Alabama,Hazel Green,0.0,6.0,0.0,0.0,0.0
Alabama,Madison,709.0,2094.0,166.0,0.0,0.0
Alabama,Edwardsville,0.0,0.0,0.0,0.0,0.0
Alabama,Lake View,32.0,0.0,0.0,0.0,0.0
Alabama,Snead,0.0,11.0,0.0,0.0,0.0
Alabama,Robertsdale,53.0,0.0,0.0,0.0,0.0
Alabama,Garden City,2.0,0.0,0.0,0.0,0.0
Alabama,Georgiana,0.0,16.0,0.0,0.0,0.0
Alabama,Ider,0.0,0.0,5.0,0.0,0.0
Alabama,Pine Ridge,1.0,0.0,0.0,0.0,0.0
Alabama,Sand Rock,0.0,0.0,0.0,0.0,0.0
Alabama,Valley Head,0.0,0.0,0.0,0.0,0.0
Alabama,Waterloo,0.0,0.0,0.0,0.0,0.0
Alabama,Eva,2.0,4.0,0.0,0.0,0.0
Alabama,Falkville,5.0,0.0,0.0,0.0,0.0
Alabama,Priceville,9.0,23.0,0.0,0.0,0.0
Alabama,Fyffe,0.0,0.0,0.0,0.0,0.0
Alabama,Childersburg,53.0,0.0,0.0,0.0,0.0
Alabama,Avon,0.0,0.0,0.0,0.0,0.0
Alabama,West End-Cobb Town,0.0,10.0,0.0,0.0,0.0
Alabama,Kinston,0.0,0.0,0.0,0.0,0.0
Alabama,Rehobeth,0.0,0.0,0.0,0.0,0.0
Alabama,Ardmore,0.0,12.0,0.0,0.0,0.0
Alabama,Athens,179.0,182.0,47.0,0.0,0.0
Alabama,Citronelle,26.0,0.0,0.0,0.0,0.0
Alabama,Dauphin Island,6.0,4.0,0.0,0.0,0.0
Alabama,Attalla,6.0,5.0,0.0,0.0,0.0
Alabama,Fort Payne,22.0,77.0,0.0,0.0,0.0
Alabama,Mentone,0.0,0.0,0.0,0.0,0.0
Alabama,Steele,0.0,3.0,0.0,0.0,0.0
Alabama,Homewood,181.0,562.0,184.0,0.0,0.0
Alabama,Irondale,80.0,80.0,94.0,0.0,0.0
Alabama,Wilsonville,3.0,0.0,0.0,0.0,0.0
Alabama,Sardis City,0.0,7.0,0.0,0.0,0.0
Alabama,White Hall,0.0,0.0,0.0,0.0,0.0
Alabama,Mulga,0.0,0.0,0.0,0.0,0.0
Alabama,Monroeville,0.0,10.0,0.0,0.0,0.0
Alabama,Minor,0.0,0.0,0.0,0.0,0.0
Alabama,Tarrant,0.0,27.0,0.0,34.0,0.0
Alabama,Florence,108.0,557.0,44.0,0.0,0.0
Alabama,Hamilton,15.0,0.0,0.0,0.0,0.0
Alabama,Banks,0.0,0.0,0.0,0.0,0.0
Alabama,Wadley,0.0,0.0,0.0,0.0,0.0
Alabama,Wilton,3.0,0.0,0.0,0.0,0.0
Alabama,Lanett,6.0,0.0,0.0,0.0,0.0
Alabama,Tuscumbia,12.0,39.0,0.0,0.0,0.0
Alabama,Boligee,0.0,0.0,2.0,0.0,0.0
Alabama,Malvern,0.0,1.0,0.0,0.0,0.0
Alabama,Thorsby,8.0,8.0,0.0,0.0,0.0
Alabama,Cardiff,0.0,0.0,0.0,0.0,0.0
Alabama,Mobile,843.0,2935.0,525.0,9.0,0.0
Alabama,Argo,12.0,19.0,0.0,0.0,0.0
Alabama,Bessemer,24.0,33.0,181.0,0.0,0.0
Alabama,Napier Field,0.0,0.0,0.0,0.0,0.0
Alabama,Fairview,0.0,6.0,0.0,0.0,0.0
Alabama,Vredenburgh,0.0,0.0,0.0,0.0,0.0
Alabama,Scottsboro,61.0,71.0,0.0,0.0,0.0
Alabama,Eufaula,35.0,43.0,0.0,0.0,0.0
Alabama,Warrior,0.0,44.0,0.0,0.0,0.0
Alabama,Double Springs,3.0,0.0,0.0,0.0,0.0
Alabama,Natural Bridge,0.0,0.0,0.0,0.0,0.0
Alabama,Selmont-West Selmont,0.0,0.0,0.0,0.0,0.0
Alabama,North Courtland,0.0,0.0,0.0,0.0,0.0
Alabama,Margaret,0.0,32.0,0.0,0.0,0.0
Alabama,Killen,0.0,2.0,0.0,0.0,0.0
Alabama,McIntosh,0.0,0.0,0.0,0.0,0.0
Alabama,Muscle Shoals,44.0,100.0,28.0,0.0,0.0
Alabama,Forkland,0.0,0.0,0.0,0.0,0.0
Alabama,Albertville,1.0,143.0,2.0,0.0,0.0
Alabama,Hartford,9.0,0.0,0.0,0.0,0.0
Alabama,Gilbertown,0.0,0.0,0.0,0.0,0.0
Alabama,Lisman,0.0,3.0,0.0,0.0,0.0
Alabama,Daleville,0.0,55.0,0.0,0.0,0.0
Alabama,Fairfield,0.0,10.0,36.0,0.0,0.0
Alabama,Douglas,0.0,0.0,0.0,0.0,0.0
Alabama,Town Creek,0.0,0.0,0.0,0.0,0.0
Alabama,Leeds,70.0,9.0,68.0,0.0,0.0
Alabama,Lipscomb,7.0,0.0,0.0,0.0,0.0
Alabama,Sumiton,0.0,0.0,0.0,0.0,0.0
Alabama,West Jefferson,0.0,2.0,0.0,0.0,0.0
Alabama,Needham,0.0,1.0,0.0,0.0,0.0
Alabama,Silas,0.0,0.0,0.0,0.0,0.0
Alabama,Jacksonville,73.0,117.0,20.0,0.0,0.0
Alabama,Weaver,10.0,50.0,0.0,0.0,0.0
Alabama,Gordon,0.0,0.0,0.0,0.0,0.0
Alabama,Faunsdale,0.0,0.0,0.0,0.0,0.0
Alabama,Ariton,0.0,0.0,0.0,0.0,0.0
Alabama,Clayhatchee,7.0,3.0,0.0,4.0,0.0
Alabama,Level Plains,33.0,141.0,0.0,0.0,0.0
Alabama,Newbern,0.0,0.0,0.0,0.0,0.0
Alabama,Phil Campbell,0.0,5.0,0.0,0.0,0.0
Alabama,Blue Ridge,12.0,46.0,0.0,0.0,0.0
Alabama,Millbrook,30.0,81.0,0.0,0.0,0.0
Alabama,Prattville,150.0,544.0,0.0,0.0,0.0
Alabama,Wetumpka,25.0,40.0,22.0,0.0,0.0
Alabama,Rockford,2.0,0.0,0.0,0.0,0.0
Alabama,Concord,0.0,8.0,0.0,0.0,0.0
Alabama,Adamsville,0.0,0.0,0.0,0.0,0.0
Alabama,Parrish,0.0,0.0,0.0,0.0,0.0
Alabama,Flomaton,3.0,0.0,0.0,0.0,0.0
Alabama,Five Points,0.0,0.0,0.0,0.0,0.0
Alabama,Oxford,89.0,307.0,0.0,0.0,0.0
Alabama,Cowarts,7.0,0.0,20.0,0.0,0.0
Alabama,Prichard,0.0,45.0,10.0,0.0,0.0
Alabama,Satsuma,0.0,0.0,0.0,0.0,0.0
Alabama,Maytown,0.0,0.0,0.0,0.0,0.0
Alabama,Morris,9.0,3.0,10.0,0.0,0.0
Alabama,Pleasant Grove,0.0,0.0,12.0,0.0,0.0
Alabama,Glencoe,0.0,0.0,15.0,0.0,0.0
Alabama,Hokes Bluff,0.0,0.0,0.0,0.0,0.0
Alabama,Gordonville,0.0,0.0,0.0,0.0,0.0
Alabama,Lockhart,6.0,0.0,0.0,0.0,0.0
Alabama,Autaugaville,0.0,0.0,0.0,0.0,0.0
Alabama,Arab,34.0,132.0,0.0,1.0,0.0
Alabama,Pell City,19.0,269.0,22.0,0.0,0.0
Alabama,Rogersville,9.0,7.0,0.0,0.0,0.0
Alabama,Sheffield,3.0,9.0,7.0,0.0,0.0
Alabama,Brilliant,0.0,0.0,0.0,0.0,0.0
Alabama,Brewton,6.0,105.0,10.0,0.0,0.0
Alabama,Harvest,46.0,226.0,0.0,0.0,0.0
Alabama,Eclectic,12.0,0.0,0.0,0.0,0.0
Alabama,Owens Cross Roads,2.0,7.0,0.0,0.0,0.0
Alabama,Brookwood,0.0,9.0,0.0,0.0,0.0
Alabama,Walnut Grove,0.0,0.0,0.0,0.0,0.0
Alabama,Dothan,233.0,602.0,93.0,0.0,0.0
Alabama,Kinsey,0.0,4.0,0.0,0.0,0.0
Alabama,Theodore,10.0,90.0,0.0,0.0,0.0
Alabama,Eldridge,0.0,0.0,0.0,0.0,0.0
