State,City,Female,Male
Alabama,Warrior,1690.0,1519.0
Alabama,Double Springs,722.0,686.0
Alabama,Natural Bridge,7.0,7.0
Alabama,Selmont-West Selmont,1217.0,823.0
Alabama,North Courtland,307.0,397.0
Alabama,Margaret,2470.0,2282.0
Alabama,Killen,666.0,530.0
Alabama,McIntosh,267.0,164.0
Alabama,Muscle Shoals,7371.0,6503.0
Alabama,Forkland,441.0,353.0
Alabama,Albertville,10858.0,10602.0
Alabama,Hartford,1275.0,1329.0
Alabama,Gilbertown,86.0,80.0
Alabama,Lisman,353.0,274.0
Alabama,Daleville,2746.0,2367.0
Alabama,Fairfield,6313.0,4477.0
Alabama,Douglas,573.0,504.0
Alabama,Town Creek,577.0,559.0
Alabama,Leeds,6016.0,6332.0
Alabama,Lipscomb,978.0,1046.0
Alabama,Sumiton,1417.0,1169.0
Alabama,West Jefferson,273.0,192.0
Alabama,Needham,45.0,68.0
Alabama,Silas,309.0,304.0
Alabama,Jacksonville,6631.0,6023.0
Alabama,Weaver,1680.0,1396.0
Alabama,Gordon,137.0,100.0
Alabama,Faunsdale,25.0,7.0
Alabama,Ariton,363.0,334.0
Alabama,Clayhatchee,296.0,217.0
Alabama,Level Plains,1267.0,1211.0
Alabama,Newbern,95.0,108.0
Alabama,Phil Campbell,847.0,666.0
Alabama,Blue Ridge,759.0,843.0
Alabama,Millbrook,8468.0,6692.0
Alabama,Prattville,18284.0,17373.0
Alabama,Wetumpka,4790.0,3327.0
Alabama,Rockford,434.0,280.0
Alabama,Concord,896.0,794.0
Alabama,Adamsville,2411.0,1963.0
Alabama,Parrish,494.0,614.0
Alabama,Flomaton,859.0,836.0
Alabama,Five Points,121.0,137.0
Alabama,Oxford,10840.0,10368.0
Alabama,Cowarts,1137.0,1086.0
Alabama,Prichard,11620.0,10307.0
Alabama,Satsuma,3130.0,3021.0
Alabama,Maytown,175.0,153.0
Alabama,Morris,965.0,866.0
Alabama,Pleasant Grove,5371.0,4814.0
Alabama,Glencoe,2756.0,2364.0
Alabama,Hokes Bluff,2374.0,1897.0
Alabama,Gordonville,97.0,88.0
Alabama,Lockhart,148.0,134.0
Alabama,Autaugaville,449.0,372.0
Alabama,Arab,4355.0,3879.0
Alabama,Pell City,7176.0,6417.0
Alabama,Rogersville,607.0,570.0
Alabama,Sheffield,4954.0,4032.0
Alabama,Brilliant,559.0,478.0
Alabama,Brewton,2815.0,2448.0
Alabama,Harvest,2598.0,3102.0
Alabama,Eclectic,578.0,464.0
Alabama,Owens Cross Roads,944.0,1085.0
Alabama,Brookwood,1170.0,1022.0
Alabama,Walnut Grove,478.0,439.0
Alabama,Dothan,35846.0,32026.0
Alabama,Kinsey,1156.0,1055.0
Alabama,Theodore,3516.0,2967.0
Alabama,Eldridge,64.0,70.0
Alabama,Jasper,6922.0,6805.0
Alabama,Kansas,94.0,93.0
Alabama,Fultondale,4590.0,4507.0
Alabama,Foley,9755.0,8063.0
Alabama,Underwood-Petersville,1740.0,1456.0
Alabama,Guin,1308.0,1253.0
Alabama,Daphne,13189.0,12172.0
Alabama,Silverhill,338.0,295.0
Alabama,Leesburg,505.0,587.0
Alabama,Rainsville,2685.0,2333.0
Alabama,Piedmont,2512.0,2139.0
Alabama,Huntsville,100514.0,93149.0
Alabama,Castleberry,275.0,235.0
Alabama,Abbeville,1269.0,1313.0
Alabama,Greenville,4055.0,3659.0
Alabama,Evergreen,2130.0,1575.0
Alabama,East Brewton,1446.0,1517.0
Alabama,Hurtsboro,346.0,205.0
Alabama,Haleburg,65.0,67.0
Alabama,Newville,243.0,159.0
Alabama,Louisville,206.0,290.0
Alabama,Orrville,82.0,93.0
Alabama,Cuba,208.0,202.0
Alabama,Gainesville,84.0,77.0
Alabama,Libertyville,41.0,44.0
Alabama,Alabaster,16642.0,16236.0
Alabama,Harpersville,799.0,707.0
Alabama,Gantt,69.0,59.0
Alabama,Glen Allen,225.0,210.0
Alabama,Franklin,95.0,91.0
Alabama,Blue Springs,56.0,39.0
Alabama,Hobson City,407.0,317.0
Alabama,Cottonwood,677.0,614.0
Alabama,Chickasaw,3281.0,2556.0
Alabama,Saraland,7806.0,6462.0
Alabama,Cordova,980.0,947.0
Alabama,New Market,690.0,515.0
Alabama,Repton,162.0,126.0
Alabama,New Hope,1465.0,1391.0
Alabama,Gurley,383.0,355.0
Alabama,Auburn,31852.0,31144.0
Alabama,Opelika,15759.0,14039.0
Alabama,Leighton,594.0,494.0
Alabama,Fort Rucker,1968.0,3166.0
Alabama,Midland City,1270.0,874.0
Alabama,Black,98.0,99.0
Alabama,Geneva,2304.0,2075.0
Alabama,Jacksons' Gap,401.0,378.0
Alabama,Maplesville,376.0,376.0
Alabama,Odenville,1909.0,1842.0
Alabama,Brundidge,1175.0,1120.0
Alabama,Roanoke,3195.0,2746.0
Alabama,Rock Mills,225.0,261.0
Alabama,Russellville,4870.0,4841.0
Alabama,Vina,175.0,188.0
Alabama,Providence,67.0,112.0
Alabama,Grant,517.0,416.0
Alabama,Daviston,84.0,102.0
Alabama,Clanton,4552.0,4172.0
Alabama,Moores Mill,3838.0,2977.0
Alabama,Excel,584.0,429.0
Alabama,Pine Hill,400.0,382.0
Alabama,Spruce Pine,27.0,122.0
Alabama,Woodstock,1148.0,1223.0
Alabama,Westover,824.0,779.0
Alabama,Valley Grande,1879.0,1894.0
Alabama,Center Point,8906.0,7554.0
Alabama,Smiths Station,2675.0,2674.0
Alabama,Gadsden,18321.0,17303.0
Alabama,Abanda,126.0,92.0
Alabama,Mount Vernon,681.0,562.0
Alabama,Pennington,166.0,167.0
Alabama,Union,114.0,181.0
Alabama,Red Bay,1621.0,1481.0
Alabama,Stockton,320.0,389.0
Alabama,Stapleton,607.0,589.0
Alabama,Perdido,385.0,366.0
Alabama,Samson,1119.0,967.0
Alabama,Lillian,736.0,594.0
Alabama,Axis,823.0,650.0
Alabama,Belgreen,20.0,56.0
Alabama,Chelsea,6504.0,6139.0
Alabama,Ashville,1232.0,1186.0
Alabama,Ashland,1048.0,895.0
Alabama,Ashford,1266.0,1080.0
Alabama,Carlisle-Rockledge,1183.0,1208.0
Alabama,Calvert,717.0,240.0
Alabama,Ballplay,793.0,665.0
Alabama,Bucks,33.0,35.0
Alabama,Brook Highland,3788.0,3328.0
Alabama,Bristow Cove,497.0,272.0
Alabama,Brantleyville,571.0,416.0
Alabama,Boykin,73.0,61.0
Alabama,Belle Fontaine,261.0,271.0
Alabama,Bellamy,158.0,222.0
Alabama,Broomtown,77.0,121.0
Alabama,Bon Secour,533.0,478.0
Alabama,Kimberly,1656.0,1417.0
Alabama,Cottondale,1861.0,1608.0
Alabama,Stewartville,921.0,706.0
Alabama,Sterrett,444.0,422.0
Alabama,Tidmore Bend,620.0,617.0
Alabama,Standing Rock,100.0,53.0
Alabama,Spring Garden,77.0,108.0
Alabama,Sims Chapel,24.0,61.0
Alabama,Tibbie,43.0,30.0
Alabama,Shoal Creek,712.0,686.0
Alabama,Loachapoka,128.0,123.0
Alabama,Dadeville,1685.0,1430.0
Alabama,Pickensville,437.0,446.0
Alabama,Talladega Springs,76.0,112.0
Alabama,Calera,6901.0,6656.0
Alabama,Coosada,636.0,480.0
Alabama,Vernon,995.0,816.0
Alabama,Uriah,107.0,200.0
Alabama,Vandiver,405.0,611.0
Alabama,Vinegar Bend,136.0,111.0
Alabama,Semmes,2380.0,2489.0
Alabama,Morrison Crossroads,107.0,146.0
Alabama,Joppa,415.0,275.0
Alabama,Riverside,1230.0,1270.0
Alabama,Good Hope,1502.0,1291.0
Alabama,Moody,6369.0,6383.0
Alabama,Kellyton,98.0,98.0
Alabama,Twin,243.0,214.0
Alabama,Pinson,3851.0,3270.0
Alabama,Munford,725.0,580.0
Alabama,Cusseta,61.0,51.0
Alabama,Whitesboro,1292.0,1060.0
Alabama,White Plains,297.0,473.0
Alabama,Whatley,94.0,84.0
Alabama,Weogufka,146.0,155.0
Alabama,Bakerhill,147.0,131.0
Alabama,Butler,1247.0,889.0
Alabama,Camden,1181.0,961.0
Alabama,Clio,575.0,443.0
Alabama,Millerville,118.0,40.0
Alabama,Megargel,6.0,6.0
Alabama,Marbury,797.0,776.0
Alabama,Malcolm,174.0,184.0
Alabama,Macedonia,97.0,100.0
Alabama,Lookout Mountain,826.0,979.0
Alabama,Mount Olive CDP (Coosa County),174.0,141.0
Alabama,Leroy,306.0,379.0
Alabama,Holtville,2107.0,2026.0
Alabama,Hollis Crossroads,270.0,321.0
Alabama,Hollins,524.0,368.0
Alabama,Hobson,58.0,89.0
Alabama,Hissop,328.0,133.0
Alabama,Highland Lakes,2726.0,2774.0
Alabama,Ivalee,476.0,410.0
Alabama,Mount Olive CDP (Jefferson County),2051.0,1970.0
Alabama,New Union,570.0,521.0
Alabama,Movico,39.0,49.0
Alabama,Penton,42.0,26.0
Alabama,Perdido Beach,252.0,298.0
Alabama,Peterman,68.0,71.0
Alabama,Pine Level,2247.0,2327.0
Alabama,Putnam,29.0,31.0
Alabama,Ray,109.0,148.0
Alabama,Redland,2349.0,1893.0
Alabama,Reeltown,172.0,134.0
Alabama,Rockville,11.0,5.0
Alabama,St. Stephens,231.0,163.0
Alabama,Shelby,703.0,602.0
Alabama,Magnolia Springs,401.0,414.0
Alabama,Clay,5242.0,4411.0
Alabama,Nances Creek,235.0,259.0
Alabama,Nanafalia,25.0,17.0
Alabama,Hatton,69.0,37.0
Alabama,Grimes,353.0,378.0
Alabama,Hackneyville,167.0,170.0
Alabama,Graham,39.0,45.0
Alabama,Uniontown,1157.0,812.0
Alabama,Stevenson,848.0,999.0
Alabama,Springville,2371.0,1824.0
Alabama,Reform,976.0,931.0
Alabama,Pike Road,4362.0,4522.0
Alabama,Jemison,1370.0,1267.0
Alabama,Carlton,16.0,20.0
Alabama,Indian Springs Village,1274.0,1316.0
Alabama,Goodwater,605.0,706.0
Alabama,Fruithurst,122.0,132.0
Alabama,Florala,796.0,753.0
Alabama,Eutaw,1898.0,824.0
Alabama,Creola,922.0,965.0
Alabama,Coaling,873.0,762.0
Alabama,Henagar,983.0,1076.0
Alabama,Catherine,10.0,11.0
Alabama,Choccolocco,1222.0,1174.0
Alabama,Chunchula,60.0,82.0
Alabama,Gallant,331.0,412.0
Alabama,Fruitdale,150.0,74.0
Alabama,Fredonia,119.0,101.0
Alabama,Fitzpatrick,28.0,13.0
Alabama,Fayetteville,706.0,726.0
Alabama,Fairford,30.0,34.0
Alabama,Eunola,117.0,122.0
Alabama,Emerald Mountain,1692.0,1508.0
Alabama,Egypt,358.0,416.0
Alabama,East Point,54.0,43.0
Alabama,Dunnavant,452.0,462.0
Alabama,Delta,101.0,118.0
Alabama,Deer Park,73.0,61.0
Alabama,Cullomburg,99.0,56.0
Alabama,Coats Bend,755.0,845.0
Alabama,Gulfcrest,208.0,113.0
Alabama,Panola,8.0,25.0
Alabama,Crossville,1014.0,931.0
Alabama,Ranburne,281.0,258.0
Alabama,Emelle,41.0,28.0
Alabama,Woodville,427.0,394.0
Alabama,Montevallo,3688.0,2966.0
Alabama,Myrtlewood,47.0,75.0
Alabama,Chatom,392.0,588.0
Alabama,Millry,293.0,309.0
Alabama,Millport,540.0,521.0
Alabama,Sulligent,1040.0,1043.0
Alabama,Anderson,154.0,100.0
Alabama,Hackleburg,743.0,598.0
Alabama,Trinity,1381.0,1591.0
Alabama,Gulf Shores,6584.0,5449.0
Alabama,Summerdale,509.0,517.0
Alabama,Hammondville,258.0,268.0
Alabama,Slocomb,913.0,1040.0
Alabama,Hollywood,580.0,508.0
Alabama,Livingston,2053.0,1357.0
Alabama,Holly Pond,476.0,477.0
Alabama,Colony,212.0,222.0
Alabama,Coker,348.0,334.0
Alabama,Troy,10269.0,8872.0
Alabama,Jackson,2649.0,2202.0
Alabama,Dodge City,292.0,262.0
Alabama,Beaverton,101.0,140.0
Alabama,Detroit,103.0,78.0
Alabama,Kennedy,207.0,217.0
Alabama,Hytop,189.0,205.0
Alabama,Pisgah,374.0,387.0
Alabama,Coffeeville,259.0,161.0
Alabama,Blountsville,937.0,901.0
Alabama,Locust Fork,829.0,802.0
Alabama,Smoke Rise,1345.0,1015.0
Alabama,Thomasville,2004.0,1993.0
Alabama,Memphis,20.0,12.0
Alabama,Hanceville,1774.0,1566.0
Alabama,Spanish Fort,4582.0,3742.0
Alabama,Our Town,273.0,246.0
Alabama,Geiger,143.0,171.0
Alabama,Sylacauga,6732.0,5665.0
Alabama,Lester,94.0,96.0
Alabama,Grove Hill,798.0,775.0
Alabama,Headland,2511.0,2150.0
Alabama,Enterprise,14445.0,13414.0
Alabama,Hodges,156.0,168.0
Alabama,Collinsville,920.0,1154.0
Alabama,Lynn,324.0,238.0
Alabama,Centre,1931.0,1574.0
Alabama,Moulton,1929.0,1354.0
Alabama,Ridgeville,46.0,72.0
Alabama,Cullman,8135.0,7423.0
Alabama,Ragland,1018.0,881.0
Alabama,Epes,246.0,236.0
Alabama,Petrey,21.0,27.0
Alabama,Union Springs,1713.0,1883.0
Alabama,Dozier,198.0,169.0
Alabama,Beatrice,196.0,114.0
Alabama,Greensboro,1698.0,1172.0
Alabama,Cedar Bluff,1160.0,907.0
Alabama,Pinckard,255.0,203.0
Alabama,Union Grove,36.0,39.0
Alabama,Riverview,40.0,45.0
Alabama,Phenix City,19327.0,17314.0
Alabama,Cleveland,545.0,622.0
Alabama,Sanford,99.0,90.0
Alabama,Cherokee,434.0,380.0
Alabama,Dora,1164.0,1036.0
Alabama,Selma,10501.0,8303.0
Alabama,Paint Rock,83.0,101.0
Alabama,Hayden,664.0,588.0
Alabama,McMullen,5.0,0.0
