State,City,Nursery-Pre-School,Kindergarten,1st-4th,5th-8th,9th-12th
Alabama,Westover,47,32,116,75,47
Alabama,Valley Grande,55,140,340,153,231
Alabama,Center Point,276,239,1097,807,958
Alabama,Smiths Station,177,20,311,228,184
Alabama,Gadsden,411,378,1685,1422,1754
Alabama,Abanda,0,0,0,6,9
Alabama,Mount Vernon,4,21,43,21,32
Alabama,Pennington,0,0,16,9,11
Alabama,Union,15,0,0,7,3
Alabama,Red Bay,20,46,172,244,222
Alabama,Stockton,78,0,63,0,0
Alabama,Stapleton,19,17,45,52,37
Alabama,Perdido,0,3,31,13,0
Alabama,Samson,24,31,174,154,125
Alabama,Lillian,0,0,0,16,23
Alabama,Axis,76,23,154,93,142
Alabama,Belgreen,0,0,8,8,0
Alabama,Chelsea,195,323,903,958,780
Alabama,Ashville,39,25,85,171,185
Alabama,Ashland,29,19,93,77,103
Alabama,Ashford,20,37,130,105,157
Alabama,Carlisle-Rockledge,0,19,70,214,180
Alabama,Calvert,0,0,0,212,95
Alabama,Ballplay,20,51,92,83,52
Alabama,Bucks,0,0,0,0,0
Alabama,Brook Highland,21,167,248,265,191
Alabama,Bristow Cove,0,17,60,60,63
Alabama,Brantleyville,10,0,108,76,55
Alabama,Boykin,0,0,0,6,0
Alabama,Belle Fontaine,0,0,18,40,50
Alabama,Bellamy,0,0,0,0,0
Alabama,Broomtown,0,12,0,12,38
Alabama,Bon Secour,0,0,40,0,38
Alabama,Kimberly,63,85,217,169,194
Alabama,Cottondale,33,87,313,165,194
Alabama,Stewartville,6,13,13,73,109
Alabama,Sterrett,0,8,13,0,25
Alabama,Tidmore Bend,26,36,35,35,85
Alabama,Standing Rock,0,0,11,24,0
Alabama,Spring Garden,0,0,0,15,9
Alabama,Sims Chapel,0,0,0,0,0
Alabama,Tibbie,0,11,0,8,8
Alabama,Shoal Creek,46,29,86,75,94
Alabama,Loachapoka,0,2,9,15,13
Alabama,Dadeville,7,96,207,65,166
Alabama,Pickensville,25,38,13,46,27
Alabama,Talladega Springs,0,0,23,17,11
Alabama,Calera,244,226,869,727,681
Alabama,Coosada,9,32,46,41,66
Alabama,Vernon,21,19,39,117,136
Alabama,Uriah,0,4,0,10,8
Alabama,Vandiver,6,0,20,141,56
Alabama,Vinegar Bend,0,0,12,81,8
Alabama,Semmes,14,0,175,168,157
Alabama,Morrison Crossroads,0,0,0,0,0
Alabama,Joppa,0,0,0,0,0
Alabama,Riverside,40,46,150,140,127
Alabama,Good Hope,55,35,293,32,244
Alabama,Moody,112,234,795,805,439
Alabama,Kellyton,0,2,5,18,0
Alabama,Twin,5,3,23,20,42
Alabama,Pinson,97,76,238,361,417
Alabama,Munford,4,0,74,107,68
Alabama,Cusseta,0,0,3,3,5
Alabama,Whitesboro,50,28,86,187,150
Alabama,White Plains,0,65,0,15,40
Alabama,Whatley,0,0,0,0,0
Alabama,Weogufka,0,4,0,65,9
Alabama,Bakerhill,0,1,31,20,20
Alabama,Butler,31,36,199,132,97
Alabama,Camden,31,6,90,211,139
Alabama,Clio,11,23,70,48,80
Alabama,Millerville,0,0,0,0,26
Alabama,Megargel,0,0,0,0,0
Alabama,Marbury,39,49,82,93,66
Alabama,Malcolm,0,0,49,0,108
Alabama,Macedonia,0,0,0,12,7
Alabama,Lookout Mountain,15,38,125,94,211
Alabama,Mount Olive CDP (Coosa County),32,0,0,8,0
Alabama,Leroy,0,0,12,21,0
Alabama,Holtville,39,1,177,297,260
Alabama,Hollis Crossroads,0,0,7,44,22
Alabama,Hollins,0,0,30,89,63
Alabama,Hobson,0,0,0,0,16
Alabama,Hissop,0,0,0,0,0
Alabama,Highland Lakes,59,76,361,283,369
Alabama,Ivalee,0,0,41,63,56
Alabama,Mount Olive CDP (Jefferson County),52,43,148,287,204
Alabama,New Union,0,16,48,9,54
Alabama,Movico,0,0,17,0,0
Alabama,Penton,0,0,0,12,5
Alabama,Perdido Beach,0,0,23,4,9
Alabama,Peterman,0,11,9,0,0
Alabama,Pine Level,12,69,115,256,329
Alabama,Putnam,0,0,12,0,0
Alabama,Ray,0,0,38,9,0
Alabama,Redland,52,80,260,131,255
Alabama,Reeltown,0,0,18,17,7
Alabama,Rockville,0,0,0,0,0
Alabama,St. Stephens,0,0,31,18,7
Alabama,Shelby,11,67,120,93,99
Alabama,Magnolia Springs,0,0,10,29,23
Alabama,Clay,129,97,827,656,445
Alabama,Nances Creek,0,0,51,86,41
Alabama,Nanafalia,0,0,0,0,6
Alabama,Hatton,0,0,0,0,0
Alabama,Grimes,5,9,50,31,91
Alabama,Hackneyville,0,0,15,15,0
Alabama,Graham,0,0,0,0,0
Alabama,Uniontown,40,28,81,196,200
Alabama,Stevenson,3,32,96,144,142
Alabama,Springville,32,25,295,403,354
Alabama,Reform,78,36,94,70,152
Alabama,Pike Road,172,185,539,488,659
Alabama,Jemison,39,73,131,168,136
Alabama,Carlton,0,0,0,0,0
Alabama,Indian Springs Village,18,18,113,237,219
Alabama,Goodwater,0,31,109,64,70
Alabama,Fruithurst,0,2,15,8,17
Alabama,Florala,0,17,32,52,43
Alabama,Eutaw,0,0,127,26,142
Alabama,Creola,9,34,117,103,117
Alabama,Coaling,35,9,117,101,103
Alabama,Henagar,19,3,110,92,134
Alabama,Catherine,0,0,0,0,0
Alabama,Choccolocco,24,16,72,116,120
Alabama,Chunchula,0,0,0,0,0
Alabama,Gallant,7,17,82,60,35
Alabama,Fruitdale,0,0,9,14,35
Alabama,Fredonia,0,0,21,17,0
Alabama,Fitzpatrick,0,0,0,0,0
Alabama,Fayetteville,0,50,18,35,59
Alabama,Fairford,0,0,0,0,7
Alabama,Eunola,0,0,0,0,0
Alabama,Emerald Mountain,132,44,118,161,184
Alabama,Egypt,0,22,62,10,94
Alabama,East Point,0,0,0,0,0
Alabama,Dunnavant,23,9,38,61,76
Alabama,Delta,0,0,0,0,0
Alabama,Deer Park,0,0,21,0,0
Alabama,Cullomburg,12,10,0,11,16
Alabama,Coats Bend,0,9,97,52,140
Alabama,Gulfcrest,0,0,24,26,83
Alabama,Panola,0,0,0,0,0
Alabama,Crossville,32,12,79,56,133
Alabama,Ranburne,12,12,27,30,24
Alabama,Emelle,0,0,0,0,0
Alabama,Woodville,12,23,79,52,79
Alabama,Montevallo,22,26,207,177,182
Alabama,Myrtlewood,0,0,5,3,3
Alabama,Chatom,4,0,0,88,53
Alabama,Millry,2,3,30,29,44
Alabama,Millport,15,13,21,33,33
Alabama,Sulligent,18,55,231,80,62
Alabama,Anderson,2,2,15,4,4
Alabama,Hackleburg,18,15,67,14,66
Alabama,Trinity,72,67,282,194,204
Alabama,Gulf Shores,46,93,220,437,566
Alabama,Summerdale,3,3,47,71,75
Alabama,Hammondville,2,5,33,29,26
Alabama,Slocomb,24,28,130,76,93
Alabama,Hollywood,12,10,28,60,67
Alabama,Livingston,50,52,153,49,234
Alabama,Holly Pond,10,22,60,42,49
Alabama,Colony,0,7,1,46,17
Alabama,Coker,9,7,34,31,48
Alabama,Troy,255,140,890,656,591
Alabama,Jackson,96,56,210,275,222
Alabama,Dodge City,0,9,43,28,14
Alabama,Beaverton,0,0,8,13,0
Alabama,Detroit,0,0,1,9,29
Alabama,Kennedy,4,3,13,12,27
Alabama,Hytop,13,6,20,19,20
Alabama,Pisgah,1,10,35,36,41
Alabama,Coffeeville,9,0,6,28,61
Alabama,Blountsville,14,17,148,106,72
Alabama,Locust Fork,13,24,111,102,140
Alabama,Smoke Rise,0,37,268,35,57
Alabama,Thomasville,29,50,231,188,135
Alabama,Memphis,0,0,0,0,2
Alabama,Hanceville,0,16,97,122,197
Alabama,Spanish Fort,197,107,433,761,370
Alabama,Our Town,0,0,0,0,0
Alabama,Geiger,2,0,13,15,0
Alabama,Sylacauga,135,163,839,727,637
Alabama,Lester,3,0,7,11,22
Alabama,Grove Hill,38,22,80,84,87
Alabama,Headland,27,7,249,313,254
Alabama,Enterprise,398,342,1286,1837,1715
Alabama,Hodges,0,15,12,18,17
Alabama,Collinsville,9,60,98,89,120
Alabama,Lynn,0,7,11,14,9
Alabama,Centre,39,24,103,94,166
Alabama,Moulton,0,28,166,156,179
Alabama,Ridgeville,0,4,0,0,15
Alabama,Cullman,207,102,709,1033,766
Alabama,Ragland,11,18,103,133,73
Alabama,Epes,0,4,0,6,0
Alabama,Petrey,0,0,4,0,0
Alabama,Union Springs,47,89,217,121,248
Alabama,Dozier,9,0,14,23,31
Alabama,Beatrice,0,3,32,30,14
Alabama,Greensboro,101,35,100,141,142
Alabama,Cedar Bluff,0,29,100,100,75
Alabama,Pinckard,0,8,23,13,15
Alabama,Union Grove,0,2,0,1,1
Alabama,Riverview,0,4,4,4,2
Alabama,Phenix City,579,581,2278,1700,2067
Alabama,Cleveland,0,13,22,37,45
Alabama,Sanford,2,0,9,10,7
Alabama,Cherokee,12,8,12,26,76
Alabama,Dora,59,31,153,116,126
Alabama,Selma,335,257,1099,1035,1167
Alabama,Paint Rock,3,3,7,12,8
Alabama,Hayden,10,21,60,45,57
Alabama,McMullen,0,0,0,0,0
Alabama,Thomaston,12,2,26,12,16
Alabama,Southside,39,52,331,526,450
Alaska,Nelson Lagoon,0,0,0,0,0
Alaska,Chiniak,0,0,0,0,0
