None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
2614,7596,12225,7380,4930,0.0,732,76,0,0,28.985,31.133,6517,917,2786,52.205,25122,15213,150,985,25,2802,30621,389,3167,27398,3.253,52562,940,773,2859,5.531,2783,0.542
121,774,681,653,600,0.0,12,0,0,0,14.693,58.051,359,50,301,51.034,1563,0,0,5,0,165,3007,11,15,37202,1.003,3192,0,40,45,0.251,114,0.251
530,2550,4353,6589,5098,0.0,1879,132,0,0,17.764,50.113,1654,125,639,49.267,15459,2003,96,1856,0,6190,19953,226,521,57972,1.936,30471,892,263,1870,8.966,2583,0.125
816,1349,1205,596,309,0.0,107,22,0,0,28.408,27.653,840,149,198,56.075,2910,3474,75,105,0,2040,1097,215,129,21585,1.389,6625,151,81,596,6.777,284,0.815
2058,7354,12439,13412,8778,0.0,1725,200,0,0,20.971,46.075,7099,657,3547,54.0,25083,2612,80,2110,9,5290,43448,349,1310,40732,1.375,54528,806,408,2120,2.894,2105,0.152
16089,42428,44118,17690,9091,0.0,2891,587,0,0,22.494,42.59,18056,3199,9970,50.728,90544,34652,668,4141,35,36993,105338,3803,5009,26964,2.807,183762,2360,2393,9202,5.159,10891,0.119
362,607,524,60,34,0.0,4,2,0,0,48.355,15.891,273,56,123,51.431,1137,1881,0,4,0,220,278,10,61,15619,8.842,2341,69,39,48,5.681,178,1.922
11,52,76,108,96,0.0,8,0,0,0,17.045,51.818,36,2,41,50.909,216,0,0,10,0,16,403,3,16,41786,1.136,440,4,0,20,5.455,29,0.0
49,410,878,1211,750,0.0,47,0,0,0,11.633,52.024,647,94,442,57.204,1512,14,0,29,0,151,3339,2,0,46354,0.934,3533,20,0,35,1.019,61,0.142
129,477,828,619,370,0.0,31,0,0,0,19.949,48.322,406,41,174,51.204,1338,414,0,31,0,164,2044,17,81,40154,3.574,2742,0,16,15,0.839,25,0.109
62,365,800,468,514,0.0,32,0,0,0,20.168,46.278,360,63,139,51.52,1387,19,0,66,0,203,2540,15,33,44655,1.783,2861,42,10,81,3.39,154,0.07
5699,8618,5963,2292,1056,0.0,191,105,0,91,33.962,31.114,3150,956,1508,54.825,15926,29927,43,454,0,1583,2840,113,775,19365,5.197,35254,492,512,2208,4.504,2135,0.885
55,303,369,689,332,0.0,9,18,0,0,19.144,50.168,179,25,246,53.92,958,66,3,40,0,133,1837,0,0,41865,1.732,2079,17,0,75,2.694,82,0.241
272,210,206,147,50,0.0,7,0,0,0,24.15,38.462,166,30,92,54.204,512,1,0,7,0,1028,83,0,5,17583,2.057,1118,6,0,68,3.488,43,1.521
520,1329,1477,521,245,0.0,10,0,0,0,23.607,38.959,776,89,391,54.071,2860,1190,57,0,0,182,4626,142,187,24013,3.067,6227,165,34,203,5.524,419,0.273
5030,13828,11935,5861,3004,0.0,585,84,0,13,26.444,34.276,7184,853,4220,53.343,25689,10237,48,570,0,9334,34087,1369,1002,25456,2.802,55059,623,481,2886,4.452,2601,0.705
404,869,487,175,107,0.0,21,0,0,0,23.32,29.019,373,45,385,53.746,1315,661,8,38,0,69,1934,0,141,17124,3.377,2843,0,34,338,2.251,112,0.492
1027,2972,4456,6105,4521,0.0,231,46,0,0,13.657,57.22,2150,246,2412,53.561,10014,1035,5,144,0,989,19261,43,117,47192,1.368,21564,93,122,235,2.546,499,0.042
1722,1476,618,161,80,0.0,39,17,0,0,52.737,15.246,752,171,95,19.371,4125,2840,11,37,0,1267,917,121,104,18060,2.424,5116,72,56,218,3.167,673,0.41
11061,19492,20563,16565,10233,0.0,2776,451,24,83,33.957,31.327,12667,2199,6339,51.768,52267,37155,70,3063,81,25979,40811,3244,2101,26782,4.408,108365,1631,1095,4078,3.879,4369,0.947
3138,5018,4501,1285,685,0.0,31,99,0,17,26.603,34.231,1807,260,1112,52.675,11074,6489,50,66,0,9898,6745,778,839,21756,2.701,23400,259,586,1920,5.239,1620,0.154
70,124,305,234,230,0.0,6,0,0,0,20.833,44.326,187,13,99,49.113,574,7,0,0,0,34,1067,0,25,42169,2.216,1128,3,3,35,0.975,25,0.532
1692,6570,6021,1328,1004,0.0,157,10,0,0,20.149,40.042,3268,367,1857,52.257,10452,492,353,203,0,1176,19215,309,613,26461,1.928,21892,240,309,631,3.901,968,0.114
3538,4264,3123,883,153,0.0,740,25,25,0,33.737,23.908,1737,615,972,50.695,9606,8866,173,1131,0,5862,3286,2238,616,19982,4.768,19483,301,374,1383,6.267,975,0.688
570,837,620,120,222,0.0,0,0,0,0,18.555,31.026,412,35,282,49.441,2169,260,0,60,162,1500,2292,622,178,24498,1.585,4290,181,82,393,4.289,271,0.396
224,279,341,110,123,0.0,24,0,0,0,41.983,32.116,167,32,107,51.998,973,40,5,9,0,308,1667,36,29,18875,0.987,2027,21,12,45,3.355,104,0.049
202,905,1182,1420,943,0.0,110,56,0,12,20.274,52.126,378,41,130,51.212,3523,2031,0,185,0,479,4426,27,73,41929,2.977,7221,149,68,380,5.775,617,0.014
271,263,164,8,5,0.0,0,0,0,0,24.045,30.971,115,12,76,59.156,513,133,0,3,0,751,364,317,37,18111,1.672,1256,23,45,48,5.334,101,0.557
23,185,397,817,976,0.0,96,2,0,0,19.362,46.635,344,42,138,56.906,1351,222,0,101,0,61,2631,77,43,54264,1.946,3135,68,58,141,4.689,99,0.159
699,1449,1716,4829,5381,0.0,510,555,0,0,22.92,36.553,1733,233,845,56.875,9942,4856,56,809,6,789,15452,144,1169,54184,2.256,23054,943,434,1828,7.543,937,0.178
158,296,264,62,16,0.0,0,0,0,0,23.044,26.741,120,40,158,56.836,502,866,0,0,0,28,217,27,53,17500,3.783,1163,54,6,72,4.471,63,0.0
93,144,158,44,19,0.0,0,0,0,0,19.427,37.42,61,20,70,50.955,308,481,0,0,0,8,139,0,0,19620,4.299,628,10,16,32,3.662,58,0.0
644,676,365,254,77,0.0,25,0,0,0,18.403,41.021,292,15,181,44.448,1621,49,0,24,0,1157,1700,942,19,20993,4.112,2918,95,40,148,5.209,65,0.171
927,1351,750,174,57,0.0,0,0,0,0,20.445,30.418,636,162,487,52.358,2293,1017,58,0,0,84,3660,0,56,18448,4.716,4813,97,38,346,6.337,221,0.852
277,823,675,186,51,0.0,6,0,0,0,20.836,43.69,265,50,206,46.552,1457,315,0,6,0,225,2270,8,42,30064,3.412,2726,25,60,145,5.943,119,0.147
246,472,575,472,214,0.0,57,29,0,0,30.193,33.295,372,55,216,53.159,1238,889,0,65,0,99,1526,56,64,33134,2.686,2643,36,46,94,2.876,85,0.038
142,375,665,712,571,0.0,16,2,0,0,25.962,47.203,343,2,155,46.977,1640,64,0,0,0,8,2931,0,90,41889,2.069,3093,36,54,92,2.328,178,0.291
114,304,394,187,221,0.0,7,22,0,0,25.322,36.928,198,21,138,56.096,749,121,0,7,0,38,1515,0,25,24435,2.989,1706,21,4,97,2.696,66,0.469
83,156,80,13,2,0.0,0,0,0,0,18.163,35.102,84,8,41,57.551,208,192,0,0,0,26,276,0,5,15257,1.224,490,7,4,23,7.959,57,0.0
1666,2771,2624,809,907,0.0,101,79,0,0,38.227,23.712,1437,399,872,56.025,6886,10525,18,144,0,339,4376,132,345,17963,5.894,15659,300,328,1109,4.362,884,0.83
710,1108,681,187,281,0.0,125,20,0,0,29.947,28.159,598,73,265,59.186,2077,2917,2,125,0,832,1311,174,86,21342,5.05,5089,42,20,345,9.432,663,0.216
735,977,915,168,213,0.0,0,0,0,0,21.543,43.675,188,82,374,50.69,2179,1679,92,0,0,456,2183,242,102,22220,2.625,4419,49,49,244,3.802,225,0.204
2087,2184,1147,489,170,0.0,24,0,0,0,26.616,27.996,1244,180,667,51.178,4848,1927,89,24,0,3737,4202,1978,19,20529,3.525,9930,233,58,596,7.059,473,0.594
140,289,146,9,15,0.0,0,0,0,0,37.486,20.229,93,75,63,59.429,355,723,2,0,0,12,138,4,0,21368,5.943,875,29,7,32,2.286,43,0.8
593,1177,612,120,86,0.0,0,0,0,0,25.048,30.548,388,178,268,51.753,2009,974,0,0,0,637,2530,314,163,22223,5.548,4164,52,16,428,3.794,491,0.408
431,501,196,54,41,0.0,0,0,0,0,40.087,24.443,167,69,138,55.296,823,1472,0,1,0,107,261,103,0,14434,1.793,1841,32,16,81,4.183,133,0.598
413,754,790,55,151,0.0,29,0,0,0,35.034,31.216,160,150,226,56.112,1368,2021,0,17,0,44,945,109,0,19732,4.812,3117,103,0,110,5.101,156,0.577
881,1183,778,317,73,0.0,30,0,0,0,39.02,21.46,597,101,240,55.08,2246,3236,0,60,8,21,1669,15,12,18513,6.46,5000,144,70,295,7.8,341,0.38
130,152,62,17,3,0.0,0,0,0,0,32.224,30.648,52,23,36,51.489,277,258,0,0,0,167,130,149,21,20476,0.35,571,5,1,28,5.079,32,0.0
224,299,286,102,50,0.0,0,0,0,0,20.692,35.266,252,27,130,54.187,569,57,56,0,0,78,1017,4,88,19583,1.61,1242,10,6,34,3.382,66,0.322
235,601,539,142,62,0.0,33,0,0,0,13.576,42.57,283,61,141,54.433,1064,10,0,33,24,85,2148,11,42,23235,2.441,2335,64,27,86,5.824,69,0.257
579,1072,703,232,89,0.0,57,0,0,0,35.97,21.066,294,135,371,56.588,2036,3274,3,57,0,149,1163,148,45,19098,3.646,4690,67,200,260,6.567,399,0.874
292,243,130,37,43,0.0,0,0,0,0,34.266,23.077,167,18,114,59.94,401,409,1,0,0,12,567,0,12,14787,9.391,1001,2,26,25,3.197,60,0.0
2543,7061,7313,3982,2618,0.0,491,429,5,5,42.248,19.281,4007,935,1576,53.255,16350,26458,21,640,5,3016,4432,1027,591,24501,4.6,34977,521,438,2067,5.123,1518,1.261
527,639,535,166,75,0.0,0,0,0,0,24.031,29.81,280,208,223,59.69,1144,1633,110,0,0,110,1095,0,0,18998,1.868,2838,47,113,164,4.158,20,1.057
268,400,250,73,94,0.0,6,0,0,0,25.418,41.763,142,35,91,48.649,798,80,0,7,5,30,1373,0,74,23676,2.96,1554,42,12,63,4.762,77,0.579
37,148,108,18,14,0.0,0,0,0,0,27.704,33.586,32,7,37,54.839,238,203,0,0,0,16,303,0,7,21042,5.123,527,6,7,68,3.036,34,0.0
85,127,102,20,24,0.0,5,0,0,0,29.216,19.608,90,16,56,53.333,238,187,0,16,0,8,293,6,0,16146,3.333,510,11,16,32,4.706,26,0.0
162,226,176,39,42,0.0,11,0,0,0,16.179,40.951,140,4,44,48.72,561,24,0,21,0,266,757,2,26,27548,3.656,1094,15,25,85,7.13,52,0.091
4583,13195,17576,8076,5042,0.0,1924,477,0,0,25.422,36.478,6691,1270,3616,53.229,34967,29336,426,2469,0,5910,34563,1112,2859,30017,3.438,74762,1029,1043,5184,5.98,3278,0.594
1049,2490,2968,829,322,0.0,207,74,0,0,27.378,29.476,1575,90,592,54.472,5925,4608,0,227,46,617,7022,206,483,26425,1.014,13014,81,137,975,5.932,727,0.284
37,105,71,69,27,0.0,47,2,0,0,32.796,42.204,50,13,15,47.043,197,0,0,47,0,70,255,40,0,21645,2.151,372,0,2,5,2.957,20,0.269
498,753,902,449,210,0.0,0,211,0,0,26.585,41.365,418,106,164,53.836,1799,1475,0,0,0,368,1850,169,158,36648,1.822,3897,27,71,87,3.952,216,0.257
1282,1492,1736,538,347,0.0,0,0,40,0,35.072,22.347,1001,111,760,57.919,3704,3755,0,0,186,124,4636,0,101,19789,5.453,8802,154,103,468,5.692,738,0.523
349,545,280,162,116,0.0,0,0,0,0,21.001,28.509,311,74,320,53.917,847,40,0,0,0,181,1567,71,18,17188,0.49,1838,9,11,60,2.72,33,0.49
99,411,567,223,93,0.0,3,2,0,0,13.999,53.136,186,11,36,49.975,997,2,18,0,0,71,1917,7,3,35611,1.104,1993,30,26,146,4.365,79,0.0
935,3533,7150,6290,2410,0.0,927,288,0,0,16.603,44.328,2979,418,1235,52.592,14394,3470,71,1339,0,3059,21590,875,872,40722,1.624,30362,745,351,2100,5.632,1307,0.138
1744,4371,6460,6057,2934,0.0,1269,773,0,0,28.537,37.338,3267,362,1143,52.582,15980,8368,31,1653,10,4293,18116,883,1392,33030,2.97,33700,932,499,1661,4.849,1829,0.169
1253,2556,1637,462,291,0.0,112,0,0,0,32.864,23.589,766,331,953,56.064,4742,7283,0,202,7,341,2867,50,93,14223,6.198,10793,264,273,757,5.995,581,0.593
83,192,188,84,35,0.0,0,0,0,0,25.38,37.661,116,4,55,53.45,398,93,7,0,0,114,627,42,23,28542,5.146,855,11,7,59,3.977,48,0.234
178,461,604,238,77,0.0,14,0,0,0,17.345,36.983,290,52,151,51.591,1415,355,79,29,64,236,2157,17,3,21764,0.445,2923,91,45,198,7.321,141,0.171
261,270,220,84,14,0.0,35,0,0,0,21.124,34.723,93,83,149,61.015,430,0,0,119,0,86,882,0,16,16595,3.536,1103,0,0,27,3.808,39,0.0
330,853,442,235,86,0.0,23,0,0,0,27.38,33.904,253,126,202,53.619,1301,1207,3,29,0,33,1498,24,11,20340,3.529,2805,40,24,126,3.993,149,0.463
245,355,256,88,100,0.0,65,4,0,0,43.243,26.316,138,40,88,51.873,1015,717,0,99,0,101,1166,11,44,15696,5.548,2109,25,12,114,4.742,132,0.19
124,749,673,118,192,0.0,0,0,0,0,26.932,30.238,427,36,241,58.919,1292,52,0,0,0,0,3093,0,0,22863,1.812,3145,76,80,157,7.568,134,0.223
1051,1623,1019,518,176,0.0,1694,5,0,0,38.699,32.454,454,194,133,51.893,3482,3370,0,2473,0,979,624,159,77,22115,6.383,7238,63,12,250,7.64,452,0.47
131,202,139,63,3,0.0,16,0,0,0,25.357,31.548,65,24,67,51.786,405,305,0,35,0,38,462,0,0,17424,0.595,840,27,11,48,4.167,48,0.0
44,115,33,8,4,0.0,0,0,0,0,25.249,41.86,27,0,18,58.472,125,41,0,0,0,12,238,0,10,24531,1.993,301,3,8,5,4.651,38,0.0
643,941,749,227,75,0.0,27,0,0,0,25.063,28.067,487,94,405,52.278,1906,307,0,0,0,19,3384,0,303,21141,3.38,3994,0,20,315,6.735,201,0.726
842,1088,721,403,149,0.0,0,0,0,0,12.667,42.309,519,150,438,53.055,2005,71,0,40,0,404,3689,0,95,23427,1.686,4271,166,90,145,4.004,149,0.164
128,316,312,107,110,0.0,15,0,0,0,28.889,27.292,186,45,96,60.347,571,582,0,15,0,57,767,0,19,24366,4.861,1440,31,7,103,3.681,35,0.278
165,278,237,27,16,0.0,0,0,0,0,34.126,23.971,77,53,78,57.457,465,848,0,0,0,10,215,24,6,18300,4.209,1093,54,15,76,2.745,38,0.366
1344,2845,2150,737,517,0.0,54,0,0,0,30.069,27.559,1067,240,890,52.905,5723,7328,19,54,0,312,4190,288,39,19800,2.847,12152,309,106,720,7.406,520,0.749
9,51,163,612,348,0.0,15,5,0,0,19.536,51.019,119,8,61,50.566,873,24,34,21,0,55,1619,0,19,47284,1.869,1766,45,8,86,6.512,128,0.0
476,994,777,176,95,0.0,18,0,0,0,17.068,32.399,497,122,213,55.442,1924,1649,0,18,0,439,2024,462,102,21207,6.67,4318,76,117,483,7.619,239,0.232
218,757,939,315,90,0.0,34,13,0,0,25.822,38.263,357,6,265,55.295,1714,159,116,34,0,111,3365,0,49,19664,1.148,3834,4,82,202,8.033,260,0.209
579,1124,494,83,18,0.0,0,18,0,0,52.758,14.398,505,74,132,17.801,2295,1853,0,0,0,118,809,0,12,14940,0.179,2792,20,7,42,2.364,96,0.0
917,2857,2524,1363,521,0.0,63,129,164,0,32.397,25.007,1514,414,231,57.812,6205,10450,22,0,0,2904,1284,777,187,26894,2.903,14708,462,290,837,10.321,972,0.354
526,893,818,349,109,0.0,48,0,0,0,16.333,42.387,539,15,227,49.789,1906,234,0,48,0,324,3120,0,70,20932,3.662,3796,62,55,254,6.296,109,0.29
2913,2310,2245,1605,931,0.0,1501,369,0,0,28.982,36.38,1039,191,317,49.105,8331,3190,2,1793,0,7640,3807,3662,478,27212,2.45,16369,366,203,1039,7.661,1068,0.495
237,296,295,196,112,0.0,72,0,0,0,16.677,42.908,183,11,77,49.614,849,26,9,174,0,242,1188,178,0,28452,1.958,1685,3,3,143,4.926,43,0.712
6098,5976,5245,3540,2281,0.0,764,357,0,0,28.853,33.64,3214,650,1487,54.049,17748,6360,124,985,0,16286,14413,1825,1118,24778,1.476,38624,459,642,2654,6.178,2243,0.409
497,734,1022,156,164,0.0,98,14,5,0,32.541,28.54,426,190,133,55.892,1819,686,0,79,5,1266,1886,299,378,25353,1.237,4124,74,95,197,4.51,130,0.315
397,1205,786,120,96,0.0,70,0,0,0,29.268,30.4,544,77,221,50.842,1955,1946,20,70,0,120,1758,156,27,17644,1.735,3977,126,92,104,5.431,375,0.427
122,159,154,35,39,0.0,0,0,0,0,32.067,20.821,90,11,130,62.31,248,249,0,0,0,25,378,3,6,15281,5.623,658,0,6,28,0.304,57,0.152
234,395,348,73,26,0.0,0,0,0,0,26.286,32.438,157,39,86,55.145,802,938,0,0,0,71,786,21,6,20417,8.613,1788,26,24,164,6.208,189,0.559
121,281,202,60,38,0.0,6,0,0,0,27.093,32.269,154,35,72,52.093,435,389,0,4,4,10,490,4,9,19613,1.982,908,15,6,20,4.515,20,0.0
1276,2959,3043,1606,788,0.0,53,306,0,0,43.012,19.232,1224,329,552,54.963,6674,11814,82,59,0,636,2074,340,355,21464,5.392,14819,162,204,965,6.822,822,1.053
500,1040,890,312,164,0.0,0,0,0,0,20.513,37.062,552,113,240,50.626,2366,481,0,0,2,213,4103,18,57,30675,3.005,4792,31,108,415,4.257,328,0.167
228,346,287,67,60,0.0,30,0,0,0,36.473,23.128,122,56,115,55.857,731,1380,0,34,0,1,242,0,0,20450,10.205,1656,35,45,181,4.529,148,0.302
1283,1757,2424,1132,652,0.0,230,0,0,0,17.516,43.084,869,372,540,51.613,5174,1054,0,266,0,622,8533,158,248,30798,1.375,10693,133,84,468,9.043,707,0.112
211,543,513,190,198,0.0,9,0,0,0,22.303,38.887,235,13,94,57.927,1096,1062,7,9,4,112,1393,27,50,29779,3.992,2605,151,69,201,6.526,102,0.115
156,334,535,151,111,0.0,19,0,0,0,27.251,34.136,159,48,64,51.18,1014,865,6,24,0,110,1045,12,66,30875,3.804,2077,61,26,192,6.837,104,0.048
1091,1191,1415,446,295,0.0,31,10,0,0,53.169,15.137,626,339,480,51.362,4251,6668,0,73,0,608,1332,198,198,15435,7.094,8740,114,66,355,4.989,445,1.064
1716,4374,2702,834,773,0.0,192,41,0,0,32.875,25.332,1803,440,1127,55.076,7129,10126,14,199,7,177,5303,83,91,19133,1.84,15869,386,176,894,4.241,788,0.8
343,624,494,38,37,0.0,0,0,0,0,28.851,30.811,156,71,179,53.327,1024,1239,45,0,0,7,896,7,7,22500,3.282,2194,35,39,143,6.518,69,0.547
136,331,231,47,35,0.0,0,0,0,0,23.077,36.622,141,30,62,49.749,601,483,0,0,0,2,675,0,36,19561,4.515,1196,0,28,40,7.692,63,0.0
234,375,242,29,17,0.0,10,0,0,0,23.661,33.647,209,36,52,45.731,750,71,71,0,0,81,1220,10,10,20841,5.355,1382,0,7,97,9.045,38,0.0
216,572,274,116,50,0.0,0,0,0,0,28.627,24.275,197,88,123,59.623,835,1266,3,0,0,51,708,4,40,22519,4.11,2068,51,8,216,7.205,128,0.338
826,1278,642,169,32,0.0,0,0,0,0,22.448,26.273,813,110,267,53.768,2006,866,0,0,0,50,3363,32,78,17605,4.033,4339,13,112,248,5.186,152,0.0
120,134,104,32,22,0.0,3,0,0,0,24.066,23.019,71,25,54,52.765,316,0,30,6,0,128,510,19,0,20785,3.139,669,22,10,51,9.417,25,0.897
832,1885,1479,700,471,0.0,40,16,0,0,21.223,37.829,1071,158,448,56.72,3581,1492,20,43,0,305,6377,165,37,21156,4.943,8274,142,124,576,3.638,494,0.435
2158,3672,3326,1851,1348,0.0,13,0,0,13,29.101,28.734,2070,834,1188,52.793,8755,9980,0,52,16,507,7571,173,484,20046,3.327,18546,458,315,877,5.802,1003,0.178
463,878,711,378,341,0.0,0,26,0,0,25.439,33.21,473,56,304,56.149,1772,2069,0,0,0,19,1868,27,58,28015,2.029,4041,55,51,210,7.523,129,0.272
390,517,349,101,32,0.0,481,6,0,0,48.49,21.826,122,72,151,53.692,1273,1222,0,605,0,513,387,288,53,13608,1.964,2749,39,64,70,4.583,118,0.509
57,127,78,32,7,0.0,0,0,0,0,16.825,51.185,41,11,10,53.791,195,99,0,0,0,4,318,0,1,25536,0.711,422,9,3,13,7.82,26,0.0
203,337,116,84,20,0.0,28,0,0,0,40.368,21.454,106,25,77,45.359,624,821,0,28,0,0,293,0,0,17208,10.42,1142,17,38,61,4.378,29,0.0
57,116,113,38,11,0.0,15,0,0,0,25.467,33.616,35,21,14,64.007,212,282,5,15,0,83,209,18,0,21500,4.754,589,4,7,41,16.129,35,0.0
690,1614,861,466,179,0.0,13,0,0,0,27.974,25.089,721,268,542,55.858,2479,3463,0,29,0,50,2086,1,14,16857,3.615,5616,69,106,287,6.09,235,0.356
570,1396,1697,1925,1252,0.0,409,141,0,0,17.366,48.073,605,100,438,52.774,4963,1222,0,607,0,677,7552,44,516,44746,0.742,10509,257,152,701,7.089,615,0.01
286,1067,1415,696,528,0.0,25,0,0,0,15.212,45.128,530,62,288,51.529,3059,678,0,67,0,226,5195,0,145,28280,0.919,6311,171,156,268,10.743,494,0.158
699,815,585,238,133,0.0,61,0,0,0,29.789,26.823,423,162,297,50.452,1971,1527,0,208,0,417,1857,78,89,14197,4.6,3978,168,77,225,4.223,315,0.176
186,256,239,93,40,0.0,53,0,0,0,16.081,37.002,109,9,99,52.615,607,29,0,84,0,279,863,79,42,25711,0.312,1281,26,19,154,9.368,36,0.312
1029,3024,1817,575,282,0.0,90,36,0,0,27.369,27.675,1069,538,663,46.332,5267,4404,44,90,0,1140,4059,245,331,18172,2.303,9814,148,174,583,6.073,395,0.367
411,993,591,201,108,0.0,36,0,0,0,36.622,21.48,381,152,264,48.351,1801,2455,0,36,0,71,950,22,4,17131,3.155,3487,86,74,147,8.173,220,0.574
448,301,160,8,33,0.0,0,0,0,0,27.379,31.554,91,74,126,49.281,741,387,0,0,0,615,464,206,13,16362,4.312,1461,19,8,87,8.487,105,0.205
479,741,620,86,23,0.0,42,20,0,0,24.117,39.119,348,79,117,50.171,1312,569,0,71,0,571,1355,238,67,28576,1.899,2633,59,34,149,5.127,101,0.266
78,159,101,35,77,0.0,0,0,0,0,13.911,41.601,71,0,17,42.257,440,200,0,0,0,0,562,0,0,30446,3.675,762,39,46,79,3.543,51,0.0
186,493,477,122,89,0.0,6,11,0,0,26.032,27.953,247,49,59,54.72,1108,770,15,3,0,8,1590,0,61,26952,6.13,2447,100,23,299,5.108,183,0.204
269,527,409,116,55,0.0,6,0,0,0,27.892,37.61,120,32,89,47.244,1254,210,0,13,0,300,1781,63,53,22190,5.09,2377,28,3,195,7.278,144,0.084
531,1157,1065,339,132,0.0,10,0,0,0,32.098,30.179,485,163,290,49.818,2614,2087,0,74,0,267,2458,206,323,19234,6.758,5209,152,56,238,8.908,302,0.806
868,2386,2707,661,381,0.0,113,0,0,0,17.123,40.053,1468,50,792,55.197,4414,510,26,180,24,62,8728,0,356,25618,1.685,9852,160,178,333,5.918,480,0.355
350,834,1032,329,113,0.0,85,0,0,0,25.4,33.287,611,102,203,48.414,1838,173,18,99,0,0,3023,0,250,22262,4.799,3563,15,55,50,4.378,150,0.786
657,830,524,137,62,0.0,21,0,0,0,29.177,27.958,216,97,234,56.664,1564,2379,0,21,0,0,1204,0,5,21001,9.615,3609,81,6,322,9.393,170,0.859
615,880,619,282,265,0.0,43,0,0,0,23.36,28.712,487,64,324,55.797,1792,2345,23,63,0,0,1518,0,105,23140,7.449,4054,114,62,314,7.351,172,0.271
295,667,527,84,99,0.0,20,0,0,0,34.6,27.04,294,50,290,54.44,1139,1443,0,0,0,50,973,0,52,19483,5.76,2500,17,0,90,4.36,243,0.08
1263,2980,2815,844,701,0.0,141,0,0,0,29.052,22.775,1792,463,836,53.157,6485,6449,3,141,0,870,6106,279,402,21815,3.987,13844,307,335,1134,6.349,383,0.368
456,644,355,42,14,0.0,0,10,0,0,25.266,28.174,244,71,130,51.147,1193,1242,0,0,0,22,1118,0,60,18714,3.112,2442,45,67,128,12.203,95,0.614
162,322,246,99,28,0.0,7,0,0,0,22.02,42.141,95,36,66,47.608,690,22,0,7,0,80,1208,3,0,23145,3.569,1317,10,23,113,5.847,77,0.0
204,188,117,30,12,0.0,11,0,3,0,23.097,23.742,110,5,142,54.323,354,115,0,0,3,0,622,11,24,14747,8.903,775,12,24,27,1.419,42,0.0
472,716,340,47,16,0.0,0,19,0,0,58.749,19.653,248,54,37,13.295,1650,1234,10,0,0,136,503,75,31,2630,0.683,1903,15,5,20,1.419,147,0.0
