None,High_School,Associates,Bachelors,Graduate,Europe,Asia,Africa,Oceania,Americas,Never_Married,Married,Divorced,Separated,Widowed,Female,Male,Black,American_Indian_Alaskan_Native,Asian,Native_Hawaiian_Pacific_Islander,Hispanic_Latino,White,Other,Two_or_More,Median_Income,Unemployment,Population,Nursery_Pre-School,Kindergarten,1st_4th,5th_8th,9th_12th,Violent_Crime
331,1108,762,416,146,0.0,0,0,0,0,23.019,41.411,318,147,219,57.65,1849,836,0,0,0,71,3390,0,69,30469,0.596,4366,55,122,234,3.321,150,0.092
301,992,563,203,237,0.0,8,0,0,0,24.39,30.743,616,47,228,51.645,1705,724,27,0,0,65,2676,39,34,27258,3.744,3526,12,42,143,5.842,158,0.227
2824,4155,5478,3548,1176,0.0,461,49,0,0,23.128,38.994,2729,383,921,53.109,12720,3301,177,539,0,8166,15184,2269,736,26964,3.9,27127,847,414,2089,5.389,1366,0.125
482,2207,3063,4444,2638,0.0,3151,101,0,0,21.067,46.235,1523,223,700,53.656,8905,1994,95,3949,0,1381,11359,275,420,40098,1.749,19215,393,313,852,7.093,1364,0.151
486,858,496,79,87,0.0,20,0,0,0,26.548,27.455,345,150,271,57.083,1324,1485,44,20,0,58,1431,27,53,16983,3.306,3085,17,26,226,6.807,130,0.162
546,1135,652,140,126,0.0,0,0,0,0,24.898,34.164,424,68,220,54.674,1673,2743,0,0,0,49,921,0,0,21444,3.956,3691,42,46,187,9.076,102,0.867
1953,2146,1776,1518,850,0.0,1770,294,0,0,25.094,39.965,862,121,390,47.544,6589,2046,108,2639,0,3703,3751,1238,608,27744,1.728,12561,193,175,700,8.709,532,0.374
1109,1524,1536,562,117,0.0,183,59,0,0,23.525,41.928,579,152,225,48.788,3740,729,0,394,0,796,5327,169,189,25609,3.903,7303,85,45,350,4.464,498,0.096
951,2470,1430,505,358,0.0,0,0,0,0,31.957,23.88,874,362,728,56.334,3871,4696,0,18,0,212,3829,105,138,15330,1.726,8865,176,58,426,7.659,510,0.485
474,366,422,94,82,0.0,0,0,0,0,30.084,32.896,250,46,168,52.296,1018,518,18,8,5,39,1407,0,139,19322,3.843,2134,24,10,65,5.014,148,0.375
442,646,217,47,99,0.0,34,0,0,0,38.31,24.848,173,51,149,51.215,964,1573,0,45,0,0,350,0,8,18184,3.998,1976,12,46,84,4.605,67,0.709
1575,2477,1733,474,313,0.0,21,0,0,0,26.175,33.428,897,257,809,51.532,4618,4054,111,36,91,1804,3464,98,377,19282,3.442,9528,241,19,681,5.216,513,0.22
424,707,360,122,100,0.0,4,0,0,0,37.519,25.419,140,46,249,46.271,1412,1866,3,4,0,162,588,132,5,17716,3.805,2628,7,60,185,5.213,141,0.609
314,1013,823,206,49,0.0,15,0,0,0,34.543,29.83,340,69,46,50.73,2091,1301,0,15,0,0,2632,0,296,18354,2.451,4244,164,40,452,3.723,440,0.895
3048,5450,3651,1538,854,0.0,112,96,0,0,35.498,23.859,2600,775,1018,53.303,10612,12596,41,253,0,1190,8370,121,284,18934,3.428,22725,591,326,1393,5.399,1158,1.149
